T_over_Tc, mu_over_kTc, z
4.538476953907816247e-01,-6.490594967301354171e-03,9.858005149248444399e-01
4.558116232464930473e-01,-6.537256168826725139e-03,9.857603438741974200e-01
4.577755511022044699e-01,-6.584224625265194288e-03,9.857198575128317541e-01
4.597394789579158925e-01,-6.631503766852676375e-03,9.856790525869938424e-01
4.617034068136273151e-01,-6.679097072980703237e-03,9.856379257948677530e-01
4.636673346693387376e-01,-6.727008073096374038e-03,9.855964737857190183e-01
4.656312625250501602e-01,-6.775240347621720553e-03,9.855546931590201121e-01
4.675951903807615828e-01,-6.823797528893351359e-03,9.855125804635563869e-01
4.695591182364730054e-01,-6.872683302122835521e-03,9.854701321965120275e-01
4.715230460921844280e-01,-6.921901406378173569e-03,9.854273448025360205e-01
4.734869739478958506e-01,-6.971455635587193653e-03,9.853842146727869178e-01
4.754509018036072732e-01,-7.021349839562904954e-03,9.853407381439570623e-01
4.774148296593186958e-01,-7.071587925052580381e-03,9.852969114972731646e-01
4.793787575150301183e-01,-7.122173856809232810e-03,9.852527309574767855e-01
4.813426853707415409e-01,-7.173111658688412218e-03,9.852081926917792831e-01
4.833066132264529635e-01,-7.224405414768745107e-03,9.851632928087952212e-01
4.852705410821643861e-01,-7.276059270498857340e-03,9.851180273574495772e-01
4.872344689378758087e-01,-7.328077433869560620e-03,9.850723923258617454e-01
4.891983967935872313e-01,-7.380464176613369537e-03,9.850263836402028961e-01
4.911623246492986539e-01,-7.433223835431696999e-03,9.849799971635267992e-01
4.931262525050100765e-01,-7.486360813249776612e-03,9.849332286945747805e-01
4.950901803607214990e-01,-7.539879580501002501e-03,9.848860739665522557e-01
4.970541082164329216e-01,-7.593784676441193981e-03,9.848385286458766208e-01
4.990180360721443442e-01,-7.648080710493358400e-03,9.847905883308962771e-01
5.009819639278557668e-01,-7.702772363623753595e-03,9.847422485505800127e-01
5.029458917835671894e-01,-7.757864389750790401e-03,9.846935047631746318e-01
5.049098196392786120e-01,-7.813361617186778685e-03,9.846443523548317200e-01
5.068737474949900346e-01,-7.869268950113960173e-03,9.845947866382016578e-01
5.088376753507014572e-01,-7.925591370096074506e-03,9.845448028509934391e-01
5.108016032064128797e-01,-7.982333937624909448e-03,9.844943961545022937e-01
5.127655310621243023e-01,-8.039501793705584876e-03,9.844435616320988958e-01
5.147294589178357249e-01,-8.097100161478406471e-03,9.843922942876853766e-01
5.166933867735471475e-01,-8.155134347881443785e-03,9.843405890441111472e-01
5.186573146292585701e-01,-8.213609745352032018e-03,9.842884407415531944e-01
5.206212424849699927e-01,-8.272531833570824847e-03,9.842358441358548538e-01
5.225851703406814153e-01,-8.331906181248341023e-03,9.841827938968245038e-01
5.245490981963928379e-01,-8.391738447954906824e-03,9.841292846064935151e-01
5.265130260521042604e-01,-8.452034385996520099e-03,9.840753107573299019e-01
5.284769539078156830e-01,-8.512799842336746942e-03,9.840208667504087847e-01
5.304408817635271056e-01,-8.574040760566559172e-03,9.839659468935372244e-01
5.324048096192385282e-01,-8.635763182923566345e-03,9.839105453993320927e-01
5.343687374749499508e-01,-8.697973252361776778e-03,9.838546563832502034e-01
5.363326653306613734e-01,-8.760677214673604982e-03,9.837982738615688172e-01
5.382965931863727960e-01,-8.823881420665709296e-03,9.837413917493150750e-01
5.402605210420842186e-01,-8.887592328390012814e-03,9.836840038581432522e-01
5.422244488977956411e-01,-8.951816505431690885e-03,9.836261038941580548e-01
5.441883767535070637e-01,-9.016560631256057695e-03,9.835676854556819615e-01
5.461523046092184863e-01,-9.081831499615805603e-03,9.835087420309654993e-01
5.481162324649299089e-01,-9.147636021020161962e-03,9.834492669958392330e-01
5.500801603206413315e-01,-9.213981225268872560e-03,9.833892536113038041e-01
5.520440881763527541e-01,-9.280874264051879041e-03,9.833286950210582411e-01
5.540080160320641767e-01,-9.348322413617195237e-03,9.832675842489636553e-01
5.559719438877755993e-01,-9.416333077509105726e-03,9.832059141964404336e-01
5.579358717434870218e-01,-9.484913789378525417e-03,9.831436776397973754e-01
5.598997995991984444e-01,-9.554072215868746748e-03,9.830808672274889970e-01
5.618637274549098670e-01,-9.623816159577015111e-03,9.830174754773021162e-01
5.638276553106212896e-01,-9.694153562096685661e-03,9.829534947734653860e-01
5.657915831663327122e-01,-9.765092507140324049e-03,9.828889173636831122e-01
5.677555110220441348e-01,-9.836641223747829427e-03,9.828237353560883571e-01
5.697194388777555574e-01,-9.908808089581668324e-03,9.827579407161138869e-01
5.716833667334669800e-01,-9.981601634311741689e-03,9.826915252632787423e-01
5.736472945891784025e-01,-1.005503054309320708e-02,9.826244806678869903e-01
5.756112224448898251e-01,-1.012910366014026231e-02,9.825567984476358818e-01
5.775751503006012477e-01,-1.020382999239879962e-02,9.824884699641307506e-01
5.795390781563126703e-01,-1.027921871332059672e-02,9.824194864193046550e-01
5.815030060120240929e-01,-1.035527916674383944e-02,9.823498388517371005e-01
5.834669338677355155e-01,-1.043202087088155976e-02,9.822795181328718428e-01
5.854308617234469381e-01,-1.050945352242363927e-02,9.822085149631268886e-01
5.873947895791583607e-01,-1.058758700075363747e-02,9.821368198678973593e-01
5.893587174348697832e-01,-1.066643137228700730e-02,9.820644231934431145e-01
5.913226452905812058e-01,-1.074599689493226963e-02,9.819913151026614662e-01
5.932865731462926284e-01,-1.082629402268119219e-02,9.819174855707378802e-01
5.952505010020040510e-01,-1.090733341033075544e-02,9.818429243806733320e-01
5.972144288577154736e-01,-1.098912591834293705e-02,9.817676211186814328e-01
